time,open,high,low,close,tick_volume,spread,real_volume
2024-07-18,2461.334,2474.966,2440.226,2441.25,145073,179,0
2024-07-19,2441.292,2441.343,2393.727,2400.451,172483,179,0
2024-07-21,2403.68,2411.931,2402.487,2411.528,7264,179,0
2024-07-22,2411.496,2412.188,2383.797,2395.783,141353,179,0
2024-07-23,2395.75,2411.984,2388.182,2408.513,129675,179,0
2024-07-24,2408.558,2431.954,2393.06,2398.669,151335,179,0
2024-07-25,2398.72,2399.985,2353.081,2363.801,219780,179,0
2024-07-26,2363.849,2390.799,2355.842,2387.114,141511,179,0
2024-07-28,2387.944,2403.181,2387.853,2397.091,11156,179,0
2024-07-29,2397.055,2402.488,2369.495,2381.143,146832,179,0
2024-07-30,2381.186,2412.878,2376.471,2409.807,149628,179,0
2024-07-31,2409.81,2450.951,2403.877,2445.743,174507,179,0
2024-08-01,2445.725,2462.302,2430.12,2445.844,204197,179,0
2024-08-02,2445.886,2477.704,2410.794,2441.892,265481,179,0
2024-08-04,2441.02,2446.317,2437.915,2440.952,13269,179,0
2024-08-05,2440.984,2458.836,2364.234,2404.837,361699,179,0
2024-08-06,2404.865,2418.371,2381.404,2383.788,233525,179,0
2024-08-07,2383.723,2407.059,2378.931,2384.791,182174,179,0
2024-08-08,2384.835,2427.818,2383.283,2424.595,181457,179,0
2024-08-09,2424.519,2437.055,2416.829,2430.805,144977,179,0
2024-08-11,2428.332,2433.24,2427.262,2427.927,6495,179,0
2024-08-12,2427.928,2476.033,2423.825,2475.536,134699,169,0
2024-08-13,2475.58,2476.963,2458.493,2464.06,143654,169,0
2024-08-14,2464.104,2480.064,2437.995,2449.408,195917,169,0
2024-08-15,2449.396,2470.095,2432.094,2457.298,189667,169,0
2024-08-16,2457.309,2509.783,2450.7,2507.82,159247,169,0
2024-08-18,2506.461,2506.778,2502.271,2506.414,7373,179,0
2024-08-19,2506.42,2507.482,2485.614,2503.544,149199,179,0
2024-08-20,2503.554,2531.668,2497.283,2512.964,163243,179,0
2024-08-21,2512.976,2519.942,2493.644,2512.783,157336,179,0
2024-08-22,2512.732,2514.701,2470.801,2487.564,159973,179,0
2024-08-23,2487.574,2518.35,2486.469,2512.357,157860,179,0
2024-08-25,2512.067,2516.683,2511.068,2515.917,7415,159,0
2024-08-26,2515.903,2527.009,2508.646,2515.511,146693,159,0
2024-08-27,2515.512,2529.043,2503.436,2525.269,154887,159,0
2024-08-28,2525.223,2525.813,2493.498,2508.11,147493,159,0
2024-08-29,2508.08,2528.669,2503.558,2519.613,155154,159,0
2024-08-30,2519.6,2526.914,2494.086,2503.342,168182,159,0
2024-09-01,2502.485,2504.76,2501.942,2502.98,5448,159,0
2024-09-02,2502.983,2507.31,2489.977,2497.242,100349,159,0
2024-09-03,2497.247,2506.247,2473.282,2493.223,190319,159,0
2024-09-04,2493.2,2500.266,2471.826,2495.829,165815,159,0
2024-09-05,2495.827,2523.574,2493.759,2517.282,168583,159,0
2024-09-06,2517.277,2529.232,2485.064,2497.555,235075,159,0
2024-09-08,2497.038,2498.276,2495.507,2496.869,6151,159,0
2024-09-09,2496.871,2507.701,2485.503,2506.813,160930,159,0
2024-09-10,2506.815,2518.849,2500.052,2518.678,148984,159,0
2024-09-11,2518.638,2529.086,2500.844,2511.893,193427,159,0
2024-09-12,2511.901,2560.091,2510.973,2558.422,193081,159,0
2024-09-13,2558.419,2586.12,2556.78,2579.067,172961,159,0
2024-09-15,2578.456,2580.454,2577.582,2579.163,7257,159,0
2024-09-16,2579.17,2589.651,2575.285,2583.659,139447,159,0
2024-09-17,2583.683,2586.956,2560.661,2574.05,164881,159,0
2024-09-18,2574.019,2600.138,2546.828,2559.239,254151,159,0
2024-09-19,2559.239,2594.963,2550.894,2587.282,209005,159,0
2024-09-20,2587.254,2625.754,2584.714,2622.098,185221,159,0
2024-09-22,2620.944,2622.119,2619.63,2620.234,5589,160,0
2024-09-23,2620.202,2634.881,2613.799,2626.3,161989,159,0
2024-09-24,2626.295,2664.366,2622.524,2658.204,201347,159,0
2024-09-25,2658.163,2670.629,2649.566,2656.24,188275,159,0
2024-09-26,2656.359,2685.611,2654.717,2672.601,223870,159,0
2024-09-27,2672.61,2674.269,2642.994,2657.983,209353,159,0
2024-09-29,2661.714,2665.106,2659.762,2663.543,9821,159,0
2024-09-30,2663.58,2666.069,2624.679,2635.634,202799,159,0
2024-10-01,2635.66,2673.222,2633.911,2660.361,202194,159,0
2024-10-02,2660.39,2663.387,2641.038,2660.328,170820,159,0
2024-10-03,2660.299,2662.968,2637.964,2655.804,184387,159,0
2024-10-04,2655.8,2670.167,2632.031,2653.519,203717,159,0
2024-10-06,2651.575,2652.397,2649.675,2650.158,6824,159,0
2024-10-07,2650.103,2659.613,2637.728,2642.944,173705,159,0
2024-10-08,2642.962,2653.012,2604.686,2621.868,241960,159,0
2024-10-09,2621.868,2624.321,2605.116,2608.476,175163,159,0
2024-10-10,2608.438,2636.019,2602.26,2633.149,198131,159,0
2024-10-11,2633.161,2661.462,2631.952,2656.864,151587,159,0
2024-10-13,2650.086,2652.472,2646.866,2648.091,9810,159,0
2024-10-14,2648.131,2666.838,2643.075,2649.357,155990,159,0
2024-10-15,2649.419,2668.93,2637.975,2660.5,174463,159,0
2024-10-16,2660.498,2685.394,2658.722,2674.087,175429,159,0
2024-10-17,2674.122,2696.788,2673.155,2693.706,191698,159,0
2024-10-18,2693.669,2722.633,2692.73,2721.778,182442,159,0
2024-10-20,2723.092,2725.145,2720.179,2723.416,7432,159,0
2024-10-21,2723.457,2740.552,2714.204,2721.483,211005,159,0
2024-10-22,2721.483,2748.908,2720.633,2746.553,170385,159,0
2024-10-23,2746.557,2758.508,2708.63,2721.258,211261,159,0
2024-10-24,2721.219,2743.208,2717.752,2733.844,178049,159,0
2024-10-25,2733.885,2747.774,2716.956,2747.023,158893,159,0
2024-10-27,2733.443,2740.176,2730.34,2735.815,12776,159,0
2024-10-28,2735.783,2745.917,2724.631,2744.427,158784,159,0
2024-10-29,2744.379,2775.383,2743.203,2774.915,180568,159,0
2024-10-30,2774.943,2790.075,2770.804,2785.49,176119,159,0
2024-10-31,2785.489,2790.084,2731.515,2746.691,197598,159,0
2024-11-01,2746.672,2762.261,2733.113,2736.69,186424,159,0
2024-11-03,2732.846,2740.334,2732.568,2738.352,5441,159,0
2024-11-04,2738.379,2748.215,2731.742,2736.001,162008,159,0
2024-11-05,2736.046,2749.917,2724.695,2745.707,157445,159,0
2024-11-06,2745.684,2749.681,2652.335,2664.048,373110,159,0
2024-11-07,2664.035,2710.317,2643.217,2706.866,239577,159,0
2024-11-08,2706.87,2710.418,2680.286,2684.758,201048,159,0
2024-11-10,2683.161,2685.65,2681.526,2685.605,3709,159,0
2024-11-11,2685.638,2686.141,2610.53,2624.038,210697,159,0
2024-11-12,2624.026,2627.162,2589.596,2598.956,233933,159,0
2024-11-13,2599.011,2618.841,2569.214,2570.989,226862,159,0
2024-11-14,2571.012,2577.447,2536.755,2566.899,243258,159,0
2024-11-15,2566.888,2576.06,2554.406,2562.969,202809,159,0
2024-11-17,2568.027,2575.523,2568.027,2571.441,5698,159,0
2024-11-18,2571.403,2615.104,2569.866,2612.704,190681,159,0
2024-11-19,2612.731,2639.473,2611.057,2635.166,199480,159,0
2024-11-20,2635.157,2655.433,2618.864,2652.124,172845,159,0
2024-11-21,2652.153,2673.522,2650.325,2669.159,179694,159,0
2024-11-22,2669.127,2715.658,2668.853,2715.573,214309,159,0
2024-11-24,2711.186,2721.405,2710.748,2719.756,8444,159,0
2024-11-25,2719.727,2720.136,2605.112,2610.461,324790,159,0
2024-11-26,2610.527,2641.993,2608.451,2632.254,231795,159,0
2024-11-27,2632.253,2658.206,2627.017,2637.168,182312,159,0
2024-11-28,2637.063,2649.674,2620.844,2638.767,122238,159,0
2024-11-29,2638.726,2666.383,2633.969,2655.23,154273,159,0
2024-12-01,2649.054,2650.324,2643.053,2645.659,5596,159,0
2024-12-02,2645.756,2651.794,2621.838,2642.211,226417,159,0
2024-12-03,2642.228,2655.665,2634.033,2642.721,183325,159,0
2024-12-04,2642.725,2657.184,2632.33,2650.397,188270,159,0
2024-12-05,2650.404,2655.518,2623.444,2633.713,173691,159,0
2024-12-06,2633.721,2645.733,2612.931,2632.92,204943,159,0
2024-12-08,2642.963,2648.524,2636.316,2640.064,8040,159,0
2024-12-09,2640.064,2676.445,2627.461,2660.449,196964,159,0
2024-12-10,2660.489,2698.378,2657.958,2695.986,180768,159,0
2024-12-11,2695.911,2721.052,2675.566,2719.922,185204,145,0
2024-12-12,2719.984,2726.206,2675.077,2680.623,73747,159,0
2024-12-13,2680.617,2692.778,2646.046,2648.392,70305,159,0
2024-12-15,2649.414,2653.127,2648.793,2651.479,1933,159,0
2024-12-16,2651.484,2664.447,2643.523,2651.744,118330,80,0
2024-12-17,2651.762,2658.639,2632.966,2647.378,161370,159,0
2024-12-18,2647.365,2651.746,2583.39,2588.225,184676,159,0
2024-12-19,2588.256,2626.43,2586.951,2593.519,208767,159,0
2024-12-20,2593.496,2631.875,2589.593,2622.643,178657,64,0
2024-12-22,2623.329,2624.907,2621.731,2624.293,1858,159,0
2024-12-23,2624.399,2633.259,2608.117,2615.492,123872,64,0
2024-12-24,2615.546,2621.472,2610.019,2616.713,100839,159,0
2024-12-25,2615.621,2620.115,2615.371,2618.656,2409,160,0
2024-12-26,2618.647,2639.177,2618.611,2632.684,118078,159,0
2024-12-27,2632.689,2638.314,2611.579,2621.623,135559,159,0
2024-12-29,2621.977,2626.159,2621.632,2624.035,4005,159,0
